x,y,z,yaw,velocity,change_flag
3.36859999993,-29.2091000006,245.0000,1.7043,16.5682,0
3.21539999999,-28.2140000006,245.0000,1.7021,16.6849,0
3.06299999997,-27.2157000005,245.0000,1.7000,16.8016,0
2.91099999996,-26.2121000001,245.0000,1.6977,16.9182,0
2.7601999999,-25.2020000005,245.0000,1.6955,16.9182,0
2.61209999991,-24.1839000005,245.0000,1.6932,17.1516,0
2.46589999995,-23.1610000003,245.0000,1.6910,17.1516,0
2.32149999996,-22.1290000007,245.0000,1.6887,17.2683,0
2.17959999992,-21.0942000002,245.0000,1.6864,17.2683,0
2.04019999993,-20.0567000005,245.0000,1.6840,17.2683,0
1.90469999996,-19.0259000007,245.0000,1.6816,17.0349,0
1.77419999999,-18.0085000005,245.0000,1.6790,17.0349,0
1.64839999995,-16.9948000005,245.0000,1.6760,16.6849,0
1.52819999994,-15.9989,245.0000,1.6729,16.4515,0
1.4047999999,-14.9282,245.0000,1.6693,16.2182,0
1.28749999998,-13.8754000003,245.0000,1.6657,15.9848,0
1.17799999996,-12.8381000003,245.0000,1.6619,15.6348,0
1.07549999992,-11.8230000008,245.0000,1.6582,15.4014,0
0.970299999928,-10.7467,245.0000,1.6544,14.8180,0
0.874299999909,-9.71890000068,245.0000,1.6506,14.3513,0
0.779399999999,-8.65800000075,245.0000,1.6466,13.5346,0
0.692799999961,-7.65540000051,245.0000,1.6436,12.8345,0
0.60699999996,-6.64100000076,245.0000,1.6418,12.0178,0
0.522999999928,-5.62780000083,245.0000,1.6400,11.2010,0
0.436499999953,-4.57490000036,245.0000,1.6381,10.3843,0
0.353899999987,-3.56350000016,245.0000,1.6364,9.3342,0
0.270499999984,-2.52290000021,245.0000,1.6345,8.1674,0
0.190199999954,-1.50620000064,245.0000,1.6326,6.8840,0
0.110199999996,-0.493000000715,245.0000,1.6302,4.2004,0
